date,plant_id,field_name,height_cm,growth_delta,temp_pf,humidity,co2,illuminance,solar_radiation,vapor_pressure_deficit,dew_point,solar_radiation_cumsum,growth_tomorrow,weekday,weeknum
2024-11-05,2,３号棟,30.0,-32.0,17.472465277777776,79.49232638888888,430.2602430555556,8.513541666666667,501133,3.5214236111111115,13.553715277777776,9.89826,-17.0,1,45
2024-11-05,3,３号棟,33.0,-27.0,17.472465277777776,79.49232638888888,430.2602430555556,8.513541666666667,501133,3.5214236111111115,13.553715277777776,9.89826,-18.0,1,45
2024-11-12,1,３号棟,39.0,15.0,16.012239583333333,82.47715277777777,434.7024305555556,9.072395833333331,533925,3.049496527777777,12.730711805555554,11.54178,-9.0,1,46
2024-11-12,2,３号棟,40.0,15.0,16.012239583333333,82.47715277777777,434.7024305555556,9.072395833333331,533925,3.049496527777777,12.730711805555554,11.54178,-11.0,1,46
2024-11-12,3,３号棟,42.0,18.0,16.012239583333333,82.47715277777777,434.7024305555556,9.072395833333331,533925,3.049496527777777,12.730711805555554,11.54178,-12.0,1,46
2024-11-19,1,３号棟,46.0,36.0,10.80804098645363,78.66309482459187,429.5364709968739,4.85567905522751,289945,2.234803751302536,7.063667940257034,5.43654,-7.0,1,47
2024-11-19,2,３号棟,49.0,39.0,10.80804098645363,78.66309482459187,429.5364709968739,4.85567905522751,289945,2.234803751302536,7.063667940257034,5.43654,-13.0,1,47
2024-11-19,3,３号棟,49.0,39.0,10.80804098645363,78.66309482459187,429.5364709968739,4.85567905522751,289945,2.234803751302536,7.063667940257034,5.43654,-15.0,1,47
2024-11-26,1,３号棟,55.0,44.0,14.409201388888889,83.1763888888889,432.15833333333336,4.547569444444444,272396,2.32421875,11.425208333333332,4.75746,-11.0,1,48
2024-11-26,2,３号棟,58.0,47.0,14.409201388888889,83.1763888888889,432.15833333333336,4.547569444444444,272396,2.32421875,11.425208333333332,4.75746,-16.0,1,48
2024-11-26,3,３号棟,57.0,47.0,14.409201388888889,83.1763888888889,432.15833333333336,4.547569444444444,272396,2.32421875,11.425208333333332,4.75746,-15.0,1,48
